Location,COD_Response
Location 1,239
Location 1,230
Location 1,256
Location 1,124
Location 1,135
Location 1,158
Location 1,129
Location 1,135
Location 1,141
Location 2,218
Location 2,224
Location 2,202
Location 2,199
Location 2,233
Location 2,141
Location 2,186
Location 2,181
Location 2,200
Location 3,591
Location 3,589
Location 3,581
Location 3,519
Location 3,504
Location 3,486
Location 3,628
Location 3,574
Location 3,632
Location 4,260
Location 4,222
Location 4,285
Location 4,399
Location 4,386
Location 4,375
Location 4,185
Location 4,235
Location 4,231
